comparison,baseline_method,method,metric,baseline_value,method_value,delta
eval_set_vs_weak_supervision,weak_supervision,rules,micro_f1,0.712193,0.795594,0.083401
eval_set_vs_weak_supervision,weak_supervision,rules,macro_f1,0.322239,0.524791,0.202552
eval_set_vs_weak_supervision,weak_supervision,rules,hamming_loss,0.045312,0.032274,-0.013038
eval_set_vs_weak_supervision,weak_supervision,rules,jaccard_samples,0.714443,0.80346,0.089017
eval_set_vs_weak_supervision,weak_supervision,rules,subset_accuracy,0.701599,0.794029,0.092431
eval_set_vs_weak_supervision,weak_supervision,embeddings,micro_f1,0.712193,0.62931,-0.082884
eval_set_vs_weak_supervision,weak_supervision,embeddings,macro_f1,0.322239,0.19723,-0.125009
eval_set_vs_weak_supervision,weak_supervision,embeddings,hamming_loss,0.045312,0.057332,0.01202
eval_set_vs_weak_supervision,weak_supervision,embeddings,jaccard_samples,0.714443,0.631048,-0.083396
eval_set_vs_weak_supervision,weak_supervision,embeddings,subset_accuracy,0.701599,0.629778,-0.071821
eval_set_vs_weak_supervision,weak_supervision,weak_supervision,micro_f1,0.712193,0.712193,0.0
eval_set_vs_weak_supervision,weak_supervision,weak_supervision,macro_f1,0.322239,0.322239,0.0
eval_set_vs_weak_supervision,weak_supervision,weak_supervision,hamming_loss,0.045312,0.045312,0.0
eval_set_vs_weak_supervision,weak_supervision,weak_supervision,jaccard_samples,0.714443,0.714443,0.0
eval_set_vs_weak_supervision,weak_supervision,weak_supervision,subset_accuracy,0.701599,0.701599,0.0
eval_set_vs_weak_supervision,weak_supervision,hitl_budget_50,micro_f1,0.712193,0.717486,0.005292
eval_set_vs_weak_supervision,weak_supervision,hitl_budget_50,macro_f1,0.322239,0.335142,0.012903
eval_set_vs_weak_supervision,weak_supervision,hitl_budget_50,hamming_loss,0.045312,0.044476,-0.000836
eval_set_vs_weak_supervision,weak_supervision,hitl_budget_50,jaccard_samples,0.714443,0.719877,0.005433
eval_set_vs_weak_supervision,weak_supervision,hitl_budget_50,subset_accuracy,0.701599,0.707095,0.005496
eval_set_vs_weak_supervision,weak_supervision,hitl_budget_100,micro_f1,0.712193,0.722124,0.009931
eval_set_vs_weak_supervision,weak_supervision,hitl_budget_100,macro_f1,0.322239,0.346415,0.024176
eval_set_vs_weak_supervision,weak_supervision,hitl_budget_100,hamming_loss,0.045312,0.043746,-0.001566
eval_set_vs_weak_supervision,weak_supervision,hitl_budget_100,jaccard_samples,0.714443,0.724623,0.01018
eval_set_vs_weak_supervision,weak_supervision,hitl_budget_100,subset_accuracy,0.701599,0.711841,0.010242
eval_set_vs_weak_supervision,weak_supervision,hitl_budget_200,micro_f1,0.712193,0.73191,0.019716
eval_set_vs_weak_supervision,weak_supervision,hitl_budget_200,macro_f1,0.322239,0.372465,0.050226
eval_set_vs_weak_supervision,weak_supervision,hitl_budget_200,hamming_loss,0.045312,0.042218,-0.003094
eval_set_vs_weak_supervision,weak_supervision,hitl_budget_200,jaccard_samples,0.714443,0.734241,0.019798
eval_set_vs_weak_supervision,weak_supervision,hitl_budget_200,subset_accuracy,0.701599,0.721459,0.01986
llm_few_vs_zero,llm_zero_shot,llm_zero_shot,micro_f1,0.525424,0.525424,0.0
llm_few_vs_zero,llm_zero_shot,llm_zero_shot,macro_f1,0.3934,0.3934,0.0
llm_few_vs_zero,llm_zero_shot,llm_zero_shot,hamming_loss,0.086154,0.086154,0.0
llm_few_vs_zero,llm_zero_shot,llm_zero_shot,jaccard_samples,0.528333,0.528333,0.0
llm_few_vs_zero,llm_zero_shot,llm_zero_shot,subset_accuracy,0.46,0.46,0.0
llm_few_vs_zero,llm_zero_shot,llm_few_shot,micro_f1,0.525424,0.615385,0.089961
llm_few_vs_zero,llm_zero_shot,llm_few_shot,macro_f1,0.3934,0.460743,0.067342
llm_few_vs_zero,llm_zero_shot,llm_few_shot,hamming_loss,0.086154,0.065385,-0.020769
llm_few_vs_zero,llm_zero_shot,llm_few_shot,jaccard_samples,0.528333,0.619167,0.090833
llm_few_vs_zero,llm_zero_shot,llm_few_shot,subset_accuracy,0.46,0.57,0.11
