method,display_name,family,scope,comparison_group,label,support,predicted,precision,recall,f1,cohen_kappa
rules,Reglas / heuristicas,reglas_heuristicas,eval_set,eval_set_main,000 - Normal,4628,4848,0.838284,0.878133,0.857746,0.651776
rules,Reglas / heuristicas,reglas_heuristicas,eval_set,eval_set_main,272 - Protocol Manipulation,81,5,0.4,0.024691,0.046512,0.045389
rules,Reglas / heuristicas,reglas_heuristicas,eval_set,eval_set_main,242 - Code Injection,139,31,0.225806,0.05036,0.082353,0.076505
rules,Reglas / heuristicas,reglas_heuristicas,eval_set,eval_set_main,88 - OS Command Injection,66,169,0.112426,0.287879,0.161702,0.151643
rules,Reglas / heuristicas,reglas_heuristicas,eval_set,eval_set_main,126 - Path Traversal,185,479,0.373695,0.967568,0.539157,0.523263
rules,Reglas / heuristicas,reglas_heuristicas,eval_set,eval_set_main,66 - SQL Injection,2206,1616,0.961634,0.704442,0.813187,0.756434
rules,Reglas / heuristicas,reglas_heuristicas,eval_set,eval_set_main,16 - Dictionary-based Password Attack,16,25,0.64,1.0,0.780488,0.779952
rules,Reglas / heuristicas,reglas_heuristicas,eval_set,eval_set_main,310 - Scanning for Vulnerable Software,24,25,0.96,1.0,0.979592,0.979529
rules,Reglas / heuristicas,reglas_heuristicas,eval_set,eval_set_main,153 - Input Data Manipulation,20,252,0.015873,0.2,0.029412,0.024898
rules,Reglas / heuristicas,reglas_heuristicas,eval_set,eval_set_main,274 - HTTP Verb Tampering,48,74,0.648649,1.0,0.786885,0.785324
rules,Reglas / heuristicas,reglas_heuristicas,eval_set,eval_set_main,194 - Fake the Source of Data,495,617,0.722853,0.90101,0.802158,0.787584
rules,Reglas / heuristicas,reglas_heuristicas,eval_set,eval_set_main,34 - HTTP Response Splitting,174,195,0.892308,1.0,0.943089,0.941751
rules,Reglas / heuristicas,reglas_heuristicas,eval_set,eval_set_main,33 - HTTP Request Smuggling,9,6,0.0,0.0,0.0,-0.0009
embeddings,Similaridad / embeddings,similaridad_embeddings,eval_set,eval_set_main,000 - Normal,4628,5609,0.715992,0.867761,0.784605,0.412353
embeddings,Similaridad / embeddings,similaridad_embeddings,eval_set,eval_set_main,272 - Protocol Manipulation,81,91,0.0,0.0,0.0,-0.010821
embeddings,Similaridad / embeddings,similaridad_embeddings,eval_set,eval_set_main,242 - Code Injection,139,153,0.065359,0.071942,0.068493,0.051231
embeddings,Similaridad / embeddings,similaridad_embeddings,eval_set,eval_set_main,88 - OS Command Injection,66,143,0.0,0.0,0.0,-0.01141
embeddings,Similaridad / embeddings,similaridad_embeddings,eval_set,eval_set_main,126 - Path Traversal,185,212,0.042453,0.048649,0.04534,0.021184
embeddings,Similaridad / embeddings,similaridad_embeddings,eval_set,eval_set_main,66 - SQL Injection,2206,895,0.984358,0.399365,0.568204,0.486536
embeddings,Similaridad / embeddings,similaridad_embeddings,eval_set,eval_set_main,16 - Dictionary-based Password Attack,16,55,0.236364,0.8125,0.366197,0.364229
embeddings,Similaridad / embeddings,similaridad_embeddings,eval_set,eval_set_main,310 - Scanning for Vulnerable Software,24,109,0.06422,0.291667,0.105263,0.100845
embeddings,Similaridad / embeddings,similaridad_embeddings,eval_set,eval_set_main,153 - Input Data Manipulation,20,1,0.0,0.0,0.0,-0.000238
embeddings,Similaridad / embeddings,similaridad_embeddings,eval_set,eval_set_main,274 - HTTP Verb Tampering,48,169,0.076923,0.270833,0.119816,0.111518
embeddings,Similaridad / embeddings,similaridad_embeddings,eval_set,eval_set_main,194 - Fake the Source of Data,495,264,0.234848,0.125253,0.163373,0.125771
embeddings,Similaridad / embeddings,similaridad_embeddings,eval_set,eval_set_main,34 - HTTP Response Splitting,174,297,0.178451,0.304598,0.225053,0.203214
embeddings,Similaridad / embeddings,similaridad_embeddings,eval_set,eval_set_main,33 - HTTP Request Smuggling,9,8,0.125,0.111111,0.117647,0.116713
weak_supervision,Supervision debil / distante,supervision_debil,eval_set,eval_set_main,000 - Normal,4628,6312,0.69962,0.954192,0.807313,0.421275
weak_supervision,Supervision debil / distante,supervision_debil,eval_set,eval_set_main,272 - Protocol Manipulation,81,0,0.0,0.0,0.0,0.0
weak_supervision,Supervision debil / distante,supervision_debil,eval_set,eval_set_main,242 - Code Injection,139,58,0.103448,0.043165,0.060914,0.051214
weak_supervision,Supervision debil / distante,supervision_debil,eval_set,eval_set_main,88 - OS Command Injection,66,91,0.076923,0.106061,0.089172,0.080384
weak_supervision,Supervision debil / distante,supervision_debil,eval_set,eval_set_main,126 - Path Traversal,185,245,0.134694,0.178378,0.153488,0.130595
weak_supervision,Supervision debil / distante,supervision_debil,eval_set,eval_set_main,66 - SQL Injection,2206,1097,0.990884,0.492747,0.65819,0.581613
weak_supervision,Supervision debil / distante,supervision_debil,eval_set,eval_set_main,16 - Dictionary-based Password Attack,16,29,0.448276,0.8125,0.577778,0.576687
weak_supervision,Supervision debil / distante,supervision_debil,eval_set,eval_set_main,310 - Scanning for Vulnerable Software,24,34,0.352941,0.5,0.413793,0.411726
weak_supervision,Supervision debil / distante,supervision_debil,eval_set,eval_set_main,153 - Input Data Manipulation,20,25,0.04,0.05,0.044444,0.041785
weak_supervision,Supervision debil / distante,supervision_debil,eval_set,eval_set_main,274 - HTTP Verb Tampering,48,81,0.345679,0.583333,0.434109,0.429815
weak_supervision,Supervision debil / distante,supervision_debil,eval_set,eval_set_main,194 - Fake the Source of Data,495,228,0.72807,0.335354,0.459198,0.437253
weak_supervision,Supervision debil / distante,supervision_debil,eval_set,eval_set_main,34 - HTTP Response Splitting,174,95,0.694737,0.37931,0.490706,0.482766
weak_supervision,Supervision debil / distante,supervision_debil,eval_set,eval_set_main,33 - HTTP Request Smuggling,9,0,0.0,0.0,0.0,0.0
llm_zero_shot,LLM zero-shot,llm,llm_eval_subset,llm_subset,000 - Normal,40,34,0.823529,0.7,0.756757,0.615385
llm_zero_shot,LLM zero-shot,llm,llm_eval_subset,llm_subset,272 - Protocol Manipulation,5,0,0.0,0.0,0.0,0.0
