label,support,predicted,precision,recall,f1,kappa
000 - Normal,4628,6269,0.704419,0.954192,0.810498,0.434123
272 - Protocol Manipulation,81,0,0.0,0.0,0.0,0.0
242 - Code Injection,139,60,0.133333,0.057554,0.080402,0.070672
88 - OS Command Injection,66,93,0.096774,0.136364,0.113208,0.104572
126 - Path Traversal,185,260,0.184615,0.259459,0.21573,0.193966
66 - SQL Injection,2206,1117,0.991047,0.501813,0.666265,0.590387
16 - Dictionary-based Password Attack,16,29,0.448276,0.8125,0.577778,0.576687
310 - Scanning for Vulnerable Software,24,34,0.352941,0.5,0.413793,0.411726
153 - Input Data Manipulation,20,26,0.076923,0.1,0.086957,0.084371
274 - HTTP Verb Tampering,48,81,0.345679,0.583333,0.434109,0.429815
194 - Fake the Source of Data,495,231,0.731602,0.341414,0.465565,0.443676
34 - HTTP Response Splitting,174,94,0.702128,0.37931,0.492537,0.484681
33 - HTTP Request Smuggling,9,0,0.0,0.0,0.0,0.0
