,000 - Normal,272 - Protocol Manipulation,242 - Code Injection,88 - OS Command Injection,126 - Path Traversal,66 - SQL Injection,16 - Dictionary-based Password Attack,310 - Scanning for Vulnerable Software,153 - Input Data Manipulation,274 - HTTP Verb Tampering,194 - Fake the Source of Data,34 - HTTP Response Splitting,33 - HTTP Request Smuggling
000 - Normal,0.867761,0.014909,0.010156,0.013613,0.008427,0.002377,0.004538,0.009939,0.0,0.007347,0.027658,0.03306,0.000216
272 - Protocol Manipulation,0.703704,0.0,0.0,0.012346,0.012346,0.024691,0.012346,0.024691,0.0,0.024691,0.037037,0.148148,0.0
242 - Code Injection,0.410072,0.05036,0.071942,0.151079,0.028777,0.0,0.028777,0.007194,0.0,0.007194,0.230216,0.0,0.014388
88 - OS Command Injection,0.651515,0.0,0.030303,0.0,0.106061,0.015152,0.106061,0.0,0.0,0.045455,0.0,0.030303,0.015152
126 - Path Traversal,0.67027,0.010811,0.005405,0.027027,0.048649,0.0,0.037838,0.097297,0.0,0.086486,0.010811,0.005405,0.0
66 - SQL Injection,0.402992,0.00408,0.038985,0.022665,0.066183,0.399365,0.006346,0.011333,0.0,0.014506,0.016319,0.015866,0.00136
16 - Dictionary-based Password Attack,0.1875,0.0,0.0,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0
310 - Scanning for Vulnerable Software,0.5,0.0,0.166667,0.041667,0.0,0.0,0.0,0.291667,0.0,0.0,0.0,0.0,0.0
153 - Input Data Manipulation,0.7,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.05,0.1
274 - HTTP Verb Tampering,0.416667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.270833,0.041667,0.270833,0.0
194 - Fake the Source of Data,0.616162,0.008081,0.00404,0.0,0.014141,0.0,0.006061,0.020202,0.00202,0.141414,0.125253,0.062626,0.0
34 - HTTP Response Splitting,0.603448,0.0,0.017241,0.011494,0.045977,0.0,0.0,0.005747,0.0,0.005747,0.005747,0.304598,0.0
33 - HTTP Request Smuggling,0.333333,0.0,0.222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.111111
