,000 - Normal,272 - Protocol Manipulation,242 - Code Injection,88 - OS Command Injection,126 - Path Traversal,66 - SQL Injection,16 - Dictionary-based Password Attack,310 - Scanning for Vulnerable Software,153 - Input Data Manipulation,274 - HTTP Verb Tampering,194 - Fake the Source of Data,34 - HTTP Response Splitting,33 - HTTP Request Smuggling
000 - Normal,0.954192,0.0,0.006482,0.014477,0.018366,0.002161,0.000864,0.001729,0.000864,0.004754,0.009291,0.002809,0.0
272 - Protocol Manipulation,0.851852,0.0,0.0,0.0,0.0,0.0,0.012346,0.012346,0.0,0.098765,0.049383,0.049383,0.0
242 - Code Injection,0.697842,0.0,0.165468,0.014388,0.007194,0.0,0.021583,0.0,0.079137,0.0,0.057554,0.0,0.0
88 - OS Command Injection,0.727273,0.0,0.045455,0.136364,0.151515,0.0,0.060606,0.0,0.030303,0.0,0.0,0.015152,0.0
126 - Path Traversal,0.691892,0.0,0.0,0.048649,0.259459,0.0,0.021622,0.032432,0.005405,0.016216,0.005405,0.0,0.0
66 - SQL Injection,0.468722,0.0,0.009066,0.00544,0.050771,0.512239,0.00408,0.00136,0.003626,0.000453,0.00272,0.002267,0.0
16 - Dictionary-based Password Attack,0.1875,0.0,0.0,0.0,0.0625,0.0,0.8125,0.0,0.0,0.0,0.0,0.0625,0.0
310 - Scanning for Vulnerable Software,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
153 - Input Data Manipulation,0.85,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0
274 - HTTP Verb Tampering,0.416667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583333,0.041667,0.145833,0.0
194 - Fake the Source of Data,0.648485,0.0,0.00202,0.0,0.012121,0.0,0.006061,0.008081,0.0,0.054545,0.341414,0.00404,0.0
34 - HTTP Response Splitting,0.603448,0.0,0.005747,0.011494,0.057471,0.0,0.0,0.005747,0.0,0.0,0.005747,0.37931,0.0
33 - HTTP Request Smuggling,0.333333,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.222222,0.0,0.0,0.333333,0.0
