,000 - Normal,272 - Protocol Manipulation,242 - Code Injection,88 - OS Command Injection,126 - Path Traversal,66 - SQL Injection,16 - Dictionary-based Password Attack,310 - Scanning for Vulnerable Software,153 - Input Data Manipulation,274 - HTTP Verb Tampering,194 - Fake the Source of Data,34 - HTTP Response Splitting,33 - HTTP Request Smuggling
000 - Normal,0.875,0.025,0.025,0.0,0.1,0.0,0.0,0.025,0.0,0.0,0.0,0.025,0.0
272 - Protocol Manipulation,0.4,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242 - Code Injection,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.0
88 - OS Command Injection,0.428571,0.0,0.428571,0.142857,0.0,0.142857,0.0,0.0,0.142857,0.0,0.0,0.0,0.0
126 - Path Traversal,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
66 - SQL Injection,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 - Dictionary-based Password Attack,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310 - Scanning for Vulnerable Software,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
153 - Input Data Manipulation,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274 - HTTP Verb Tampering,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
194 - Fake the Source of Data,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34 - HTTP Response Splitting,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.75,0.625
33 - HTTP Request Smuggling,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0
