,000 - Normal,272 - Protocol Manipulation,242 - Code Injection,88 - OS Command Injection,126 - Path Traversal,66 - SQL Injection,16 - Dictionary-based Password Attack,310 - Scanning for Vulnerable Software,153 - Input Data Manipulation,274 - HTTP Verb Tampering,194 - Fake the Source of Data,34 - HTTP Response Splitting,33 - HTTP Request Smuggling
000 - Normal,0.878133,0.0,0.005186,0.031331,0.056828,0.013181,0.000648,0.000216,0.009723,0.005618,0.031331,0.002809,0.0
272 - Protocol Manipulation,0.691358,0.024691,0.0,0.0,0.024691,0.024691,0.012346,0.037037,0.024691,0.123457,0.098765,0.0,0.0
242 - Code Injection,0.47482,0.0,0.05036,0.0,0.0,0.0,0.014388,0.0,0.496403,0.0,0.007194,0.0,0.0
88 - OS Command Injection,0.409091,0.0,0.045455,0.287879,0.348485,0.0,0.045455,0.0,0.181818,0.0,0.030303,0.060606,0.045455
126 - Path Traversal,0.027027,0.027027,0.0,0.102703,0.967568,0.0,0.010811,0.0,0.054054,0.0,0.010811,0.005405,0.0
66 - SQL Injection,0.263373,0.0,0.000453,0.003626,0.007706,0.704442,0.003173,0.0,0.038078,0.0,0.0068,0.001813,0.0
16 - Dictionary-based Password Attack,0.0,0.0,0.0625,0.0,0.0625,0.0625,1.0,0.0,0.0625,0.0625,0.0,0.125,0.0625
310 - Scanning for Vulnerable Software,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
153 - Input Data Manipulation,0.6,0.0,0.0,0.0,0.1,0.2,0.05,0.0,0.2,0.0,0.0,0.0,0.0
274 - HTTP Verb Tampering,0.0,0.0,0.0,0.0,0.0,0.0,0.020833,0.0,0.125,1.0,0.041667,0.0,0.0
194 - Fake the Source of Data,0.088889,0.0,0.0,0.0,0.0,0.0,0.00404,0.0,0.058586,0.0,0.90101,0.0,0.0
34 - HTTP Response Splitting,0.0,0.0,0.0,0.0,0.132184,0.0,0.005747,0.0,0.011494,0.0,0.0,1.0,0.017241
33 - HTTP Request Smuggling,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.666667,0.0
